SKU ,DESCRIÇÃO ,FAMILIA 
1045100,13.00-24TT 14(G-2/L-2) PN14,AGRO
1045200,14.00-24TT 16(G-2/L-2) PN14,AGRO
1127200,16.9-28TT 10R-1 TM95,AGRO
1127300,7.50-16TT 12I-1 RA45,AGRO
1127400,10.5/80-18TT 12I-1 RA45,AGRO
1187700,24.5-32TL 14R-1 TM95,AGRO
1187900,21L-30TL 12R-1 MB39,AGRO
1188000,30.5L-32TL 12R-1 MB39,AGRO
1232910,12.4-28TT 6R-1 TM99,AGRO
1236600,18.4-26TT 10R-1 TM95,AGRO
1236700,18.4-26TT 12R-1 TM95,AGRO
1318600,30.5L-32TL 14R-1 MB39,AGRO
1325300,11L-15TL 10I-1 RA45,AGRO
1325400,11L-15TL 12I-1 RA45,AGRO
1347500,18.00-33TL 32(E-4) RM99-D,AGRO
1347600,18.00-33TL 36(E-4) RM99-D,AGRO
1347800,23.5-25TL 20(L-5) RM99SD,AGRO
1348200,29.5-25TL 28(E-3) RM99-E,AGRO
1348400,29.5-29TL 28(E-3) RM99-E,AGRO
1348800,17.5-25TL 12(L-3) RM99-L,AGRO
1348900,17.5-25TL 16(L-3) RM99-L,AGRO
1349000,20.5-25TL 12(L-3) RM99-L,AGRO
1349100,20.5-25TL 16(L-3) RM99-L,AGRO
1349200,20.5-25TL 20(L-3) RM99-L,AGRO
1349400,23.5-25TL 16(L-3) RM99-L,AGRO
1349500,23.5-25TL 20(L-3) RM99-L,AGRO
1410800,29.5-25TL 28(L-3) RM99-L,AGRO
1470900,12.4-24TT 4R-1 PIVOT TM95,AGRO
1480500,11.00-20TT 18(C-1) COMP BG200,AGRO
1488000,18.4-30TT 6 PD22LU,AGRO
1491700,16.9-24TT 135A6 10R-1 TM95,AGRO
1553300,19.5L-24TL 10 PN12,AGRO
1553400,12.5/80-18TL 135A8 10 PN12,AGRO
1560100,250/80-18TL 120A6 12R-1 TM75,AGRO
1569900,18.00-25TL 40(IND-4) RM96,AGRO
1572900,14.00-24TL 16(G-2/L-2) PN14,AGRO
1630100,18.4-38TT 14R-2 PD22,AGRO
1636800,400/60-15.5TL 14I-3 HF75,AGRO
1681600,400/60-15.5TL 16I-1(RA28) 428,AGRO
1706300,6.00-9TT 12 CI84,AGRO
1706400,7.00-12TT 12 CI84,AGRO
1706500,6.50-10TT 10 CI84,AGRO
1706600,7.50-15TT 10 CI84,AGRO
1706700,8.25-15TT 12 CI84,AGRO
1707400,30.5L-32TL 16R-1 MB39,AGRO
1776600,19.5L-24TL 151A8 12 PN12,AGRO
1779400,23.5R25TL 185B **(E-3)+ RM100E,AGRO
1779500,23.5R25TL 195A2 *(L-3)+ RM100L,AGRO
1779600,20.5R25TL 177B **(E-3)+ RM100E,AGRO
1779700,20.5R25TL 186A2 *(L-3)+ RM100L,AGRO
1837800,600/50-22.5TL 165A8(153A8)I-3HF75,AGRO
1838100,14.9-24TT 6R-1 TM75,AGRO
1838200,14.9-24TT 8R-1 TM75,AGRO
1838300,12.4-36TT 6R-1 TM75,AGRO
1838400,12.4-36TT 10R-1 TM75,AGRO
1838500,12.4-36TT 12R-1 TM75,AGRO
1838600,13.6-38TT 6R-1 TM75,AGRO
1838700,28X9-15TT 14 CI84,AGRO
1838800,14.00R24TL 169B (E-3) RM100E,AGRO
1839000,14.00R25TL 169B RM100E,AGRO
1951300,6.00-16TT 8I-1 RA45,AGRO
1951400,12.4-36TL 12R-1 TM75,AGRO
1979000,35/65-33STEEL BREAKERTL42L5RM9,AGRO
1993000,16.9-24TT 132A8 8R-1 TM95,AGRO
1994500,900/60R32176A8(176B)EARTAGRPHT,AGRO
1995100,23.1-30TL 12R-3 TM85,AGRO
1995200,10-16.5TL 10 PN16,AGRO
1995300,12-16.5TL 10 PN16,AGRO
2056800,14.9-26TT 8R-1 TM95,AGRO
2064800,16.9-34TT 6R-1 TM95,AGRO
2064900,12.4-36TL 10R-1 TM75,AGRO
2065000,13.6-38TT 14R-1 TM75,AGRO
2065100,12.4-38TT 14R-1 TM93,AGRO
2065200,12.4-38TT 6R-1 TM75,AGRO
2065300,12.4-28TT 6R-1 TM75,AGRO
2065400,14.9-28TT 8(R-1) TM75,AGRO
207400,7.50-18TT 8F-3 -CT65,AGRO
207500,7.50-18TT 10F-3 -CT65,AGRO
208300,17.5-25TL 12(G-2/L-2) PN12,AGRO
208400,17.5-25TL 16(G-2/L-2) PN12,AGRO
2094000,11L-16TL 12F-3 CT85,AGRO
2099100,14.9-28TT 6R-1 TM75,AGRO
2099200,12.4-38TT 14(R-1) TM75,AGRO
210000,18.00R25TL 185B **(E-3) RM94-B,AGRO
210100,15.5R25TL 152B *(E-3) RM94-B,AGRO
210700,16.00R25TL 177B **(E-3) RM94-B,AGRO
210800,14.00-24 20(E-3) RM95-E,AGRO
210900,14.00-24 24(E-3) RM95-E,AGRO
211000,14.00-24 28(E-3) RM95-E,AGRO
211100,16.00-25TL 24(E-3) RM95-E,AGRO
211200,16.00-25TL 28(E-3) RM95-E,AGRO
2162200,18.4-34TT 8R-2 PD22,AGRO
2162300,18.4-26TT 10R-2 PD22,AGRO
2162400,20.8-38TT 10R-2 PD22,AGRO
2169800,16.00-25TL 32(E-4) RM95-D,AGRO
2169900,420/85R28TL 139A8(139B)R-1WPHP:85,AGRO
2169904,420/85R28TL 139A8(139B)R-1WPHP:85,AGRO
2169905,420/85R28TL 139A8(139B)R-1WPHP:85,AGRO
2170000,520/85R38TL 155A8(155B)R-1WPHP:85,AGRO
2170004,520/85R38TL 155A8(155B)R-1WPHP:85,AGRO
2170005,520/85R38TL 155A8(155B)R-1WPHP:85,AGRO
2203200,420/85R30TL 140A8(140B)R-1WPHP:85,AGRO
2203204,420/85R30TL 140A8(140B)R-1WPHP:85,AGRO
2203205,420/85R30TL 140A8(140B)R-1WPHP:85,AGRO
2203300,520/85R42TL 157A8(157B)R-1WPHP:85,AGRO
2203304,520/85R42TL 157A8(157B)R-1WPHP:85,AGRO
2203310,520/85R42TL 157A8(157B)R-1WPHP,AGRO
2203400,710/70R42TL 173A8(173B)R-1WPHP:70,AGRO
2203700,380/80R38TL 142A8(142B)R-1WPHP:1N,AGRO
2203704,380/80R38TL 142A8(142B)R-1WPHP:1N,AGRO
2203705,380/80R38TL 142A8(142B)R-1WPHP:1N,AGRO
2222300,12.4-36TT 14R-1 TM75,AGRO
2246600,28.1-26TL 12R-1 MB39,AGRO
2267800,710/70R38TL 166A8(166B)R-1WPHP:70,AGRO
2267805,710/70R38TL 166A8(166B)R-1WPHP:70,AGRO
2268000,600/65R28TL 147A8(147B)R-1WPHP:65,AGRO
2268004,600/65R28TL 147A8(147B)R-1WPHP:65,AGRO
2271700,600/50R22.5TL 159DI-3 HF85 R,AGRO
2271800,16.9-24TL 145A8 10 PN12,AGRO
2271900,400/55-22.5TL 152A8(140A8)I-3HF75,AGRO
2272000,800/65R32TL 172A8(172B)R-1WPHP:1H,AGRO
2272004,800/65R32TL 172A8(172B)R-1WPHP:1H,AGRO
2272005,800/65R32TL 172A8(172B)R-1WPHP,AGRO
2272100,900/60R32TL 176A8(176B)R-1WPHP:1H,AGRO
2272104,900/60R32TL 176A8(176B)R-1WPHP:1H,AGRO
2272105,900/60R32TL 176A8(176B)R-1WPHP:1H,AGRO
2272200,380/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272204,380/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272205,380/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272300,320/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2272304,320/90R46TL 157A8(157B)R-1WPHP:1N,AGRO
2277600,17.5R25176A2(157B)(E-3/L-3) RM100,AGRO
2324100,250/80-18TL 8R-1 TM75,AGRO
2324600,20.8-38TT 14R-1 TM95,AGRO
2389300,18.4-30TT 10(R1) -VA,AGRO
2389400,18.4-34TT 10(R1) -VA,AGRO
2389500,14.9-24TT 8(R1) -VA,AGRO
2389600,14.9-28TT 8(R1) -VA,AGRO
2389700,480/70R34TL 155A8(155B)R-1WPHP:70,AGRO
2389704,480/70R34TL 155A8(155B)R-1WPHP:70,AGRO
2389705,480/70R34TL 155A8(155B)R-1WPHP:70,AGRO
2420600,500/45-22.5TL 154A8(142A8)I-3HF75,AGRO
2422400,23.1-26TL 12R-3 TM85,AGRO
2434300,24.5-32TT 16LS-2 TF:01,AGRO
2434400,18.4-26TT 10LS-2 TF:01,AGRO
2434500,30.5L-32TL 26LS-2 TF:01,AGRO
2469400,18.4-30TL 8R-1 TM95,AGRO
2469405,18.4-30TL 8R-1 TM95,AGRO
2483300,14.9-24TL 8R-1 TM95,AGRO
2483305,14.9-24TL 8R-1 TM95,AGRO
2483310,14.9-24TL 8R-1 TM95,AGRO
2502700,620/70R42TL 166A8(166B)R1W PHP:70,AGRO
2513600,750/65R26TL 166A8(166B)R-1WPHP:65,AGRO
2513604,750/65R26TL 166A8(166B)R-1WPHP:65,AGRO
2513605,750/65R26TL 166A8(166B)R-1WPHP:65,AGRO
2513700,650/85R38TL 173A8(173B)R-1WPHP:85,AGRO
2532000,320/85R36TL 128A8(128B)R-1WPHP:1N,AGRO
2532004,320/85R36TL 128A8(128B)R-1WPHP:1N,AGRO
2532005,320/85R36TL 128A8(128B)R-1WPHP:1N,AGRO
2532100,460/85R30TL 145A8(145B)R-1WPHP:85,AGRO
2532104,460/85R30TL 145A8(145B)R-1WPHP:85,AGRO
2532200,460/85R34TL 147A8(147B)R-1WPHP:85,AGRO
2532204,460/85R34TL 147A8(147B)R-1WPHP:85,AGRO
